oid,hz,py,wb
716,矗,CHU,FHFH
717,搐,CHU,RYXL
718,亍,CHU,FHK
719,刍,CHU,QVF
720,怵,CHU,NSY
721,憷,CHU,NSS
722,绌,CHU,XBM
723,杵,CHU,STFH
724,楮,CHU,SFTJ
725,樗,CHU,SFFN
726,褚,CHU,PUFJ
727,蜍,CHU,JWT
728,蹰,CHU,KHDF
729,黜,CHU,LFOM
730,揣,CHUAI,RMD
731,搋,CHUAI,RRHM
732,啜,CHUAI,KCCC
733,嘬,CHUAI,KJB
734,膪,CHUAI,EUPK
735,踹,CHUAI,KHMJ
736,传,CHUAN,WFNY
737,船,CHUAN,TEMK
738,穿,CHUAN,PWAT
739,串,CHUAN,KKH
740,川,CHUAN,KTHH
741,椽,CHUAN,SXE
742,喘,CHUAN,KMD
743,舛,CHUAN,QAH
744,遄,CHUAN,MDM
745,巛,CHUAN,VNNN
746,氚,CHUAN,RNKJ
747,钏,CHUAN,QKH
748,舡,CHUAN,TEA
749,床,CHUANG,YSI
750,创,CHUANG,WBJ
751,窗,CHUANG,PWT
752,闯,CHUANG,UCD
753,疮,CHUANG,UWB
754,幢,CHUANG,MHU
755,怆,CHUANG,NWB
756,吹,CHUI,KQW
757,垂,CHUI,TGA
758,锤,CHUI,QTGF
759,炊,CHUI,OQW
760,捶,CHUI,RTGF
761,陲,CHUI,BTGF
762,棰,CHUI,STG
763,槌,CHUI,SWN
764,春,CHUN,DW
765,纯,CHUN,XUCA
766,醇,CHUN,SGYB
767,椿,CHUN,SDWJ
768,唇,CHUN,DFEK
769,淳,CHUN,IAAA
770,蠢,CHUN,DWJJ
771,莼,CHUN,AXG
772,鹑,CHUN,YBQ
773,蝽,CHUN,JDWJ
774,戳,CHUO,NWYA
775,绰,CHUO,XHJ
776,啜,CHUO,KCCC
777,辍,CHUO,LCCC
778,踔,CHUO,KHHJ
779,龊,CHUO,HWBH
780,此,CI,HX
781,次,CI,UMTU
782,刺,CI,GMI
783,磁,CI,DU
784,雌,CI,HXW
785,词,CI,YNGK
786,茨,CI,AUQW
787,疵,CI,UHX
788,辞,CI,TDNN
789,慈,CI,UIDR
790,瓷,CI,UQWN
791,赐,CI,MJQ
792,伺,CI,WNG
793,兹,CI,UXX
794,茈,CI,AHX
795,呲,CI,KHXN
796,祠,CI,PYNK
797,鹚,CI,UXXG
798,糍,CI,OUX
799,从,CONG,WRCY
800,丛,CONG,WFGF
801,聪,CONG,BUKN
802,葱,CONG,AQRN
803,囱,CONG,TLQI
804,匆,CONG,QRY
805,苁,CONG,AWWU
806,淙,CONG,IPFI
807,骢,CONG,CTL
808,琮,CONG,GPF
809,璁,CONG,GTL
810,凑,COU,UDW
811,楱,COU,SDWD
812,辏,COU,LDW
813,腠,COU,EDW
814,粗,CU,OE
815,促,CU,WKH
816,醋,CU,SGA
817,簇,CU,TYT
818,卒,CU,YWWF
819,蔟,CU,AYT
820,徂,CU,TEGG
821,猝,CU,QTYF
822,殂,CU,GQE
823,酢,CU,SGTF
824,蹙,CU,DHIH
825,蹴,CU,KHYN
826,篡,CUAN,THDC
827,蹿,CUAN,KHPH
828,窜,CUAN,PWK
829,攒,CUAN,RTFM
830,汆,CUAN,TYIU
831,撺,CUAN,RPWH
832,爨,CUAN,IPZ
833,镩,CUAN,QPW
834,催,CUI,WKKK
835,脆,CUI,EQD
836,淬,CUI,IYWF
837,粹,CUI,OYW
838,摧,CUI,RMW
839,崔,CUI,MWY
840,瘁,CUI,UYW
841,翠,CUI,NYWF
842,萃,CUI,AYW
843,啐,CUI,KYW
844,悴,CUI,NYWF
845,璀,CUI,GMWY
846,榱,CUI,SYK
847,毳,CUI,TFNN
848,隹,CUI,WYG
849,存,CUN,DHB
850,村,CUN,SF
851,寸,CUN,FGHY
852,蹲,CUN,KHUF
853,忖,CUN,NFY
854,皴,CUN,CWTC
855,错,CUO,QAJ
856,措,CUO,RAJ
857,撮,CUO,RJB
858,磋,CUO,DUD
859,搓,CUO,RUD
860,挫,CUO,RWW
861,厝,CUO,DAJ
862,嵯,CUO,MUD
863,脞,CUO,EWW
864,锉,CUO,QWW
865,矬,CUO,TDW
866,痤,CUO,UWW
867,瘥,CUO,UUDA
868,鹾,CUO,HLQA
869,蹉,CUO,KHUA
870,大,DA,DD
871,打,DA,RS
872,达,DA,DP
873,答,DA,TW
874,搭,DA,RAWK
875,瘩,DA,UAW
876,耷,DA,DBF
877,哒,DA,KDP
878,嗒,DA,KAWK
879,怛,DA,NJG
880,妲,DA,VJG
881,沓,DA,IJF
882,疸,DA,UJG
883,褡,DA,PUA
884,笪,DA,TJGF
885,靼,DA,AFJG
886,鞑,DA,AFDP
887,大,DAI,DD
888,代,DAI,WRPW
889,带,DAI,GKP
890,待,DAI,TFFY
891,袋,DAI,WAYE
892,戴,DAI,FALW
893,呆,DAI,KS
894,歹,DAI,GQI
895,傣,DAI,WDW
896,殆,DAI,GQC
897,贷,DAI,WAM
898,逮,DAI,VIP
899,怠,DAI,CKN
900,埭,DAI,FVI
901,甙,DAI,AAFD
902,呔,DAI,KDYY
903,岱,DAI,WAMJ
904,迨,DAI,CKP
905,骀,DAI,CCK
906,绐,DAI,XCK
907,玳,DAI,GWA
908,黛,DAI,WAL
909,单,DAN,UJFJ
910,但,DAN,WJG
911,弹,DAN,XUJ
912,担,DAN,RJG
913,蛋,DAN,NHJ
914,淡,DAN,IO
915,胆,DAN,EJ
916,氮,DAN,RNO
917,丹,DAN,MYD
918,旦,DAN,JGF
919,耽,DAN,BPQ
920,郸,DAN,UJFB
921,掸,DAN,RUJF
922,惮,DAN,NUJ
923,诞,DAN,YTHP
924,儋,DAN,WQD
925,萏,DAN,AQVF
926,啖,DAN,KOO
927,澹,DAN,IQDY
928,殚,DAN,GQU
929,赕,DAN,MOO
930,眈,DAN,HPQ
931,疸,DAN,UJG
932,瘅,DAN,UUJF
933,聃,DAN,BMFG
934,箪,DAN,TUJF
935,党,DANG,IGKI
936,当,DANG,IV
937,档,DANG,SI
938,挡,DANG,RIV
939,荡,DANG,AIN
940,谠,DANG,YIP
941,凼,DANG,IBK
942,菪,DANG,APD
943,宕,DANG,PDF
944,砀,DANG,DNR
945,裆,DANG,PUIV
946,到,DAO,GC
947,道,DAO,UHWY
948,导,DAO,NF
949,刀,DAO,VN
950,倒,DAO,WGC
951,稻,DAO,TIIT
